CIVL 3320	Reinforced Concrete Design	3
CIVL 3420	Water and Wastewater Engineering	3
CIVL 3510	Hydrosystems Engineering	3
CIVL 3610	Traffic and Transportation Engineering	3
CIVL 3730	Fundamentals of Geotechnics	3
CIVL 3740	Geotechnical Analysis and Design	3
CIVL 4100	Special Topics	1-4
CIVL 4210	Advanced Construction with AI and Robotics	3
CIVL 4220	Scientific Machine Learning for Infrastructure Systems	3
CIVL 4240	Smart Infrastructure Sensing and Data Analytics	3
CIVL 4250	Project Management and Finance	3
CIVL 4270	Construction Law and Contract Administration	3
CIVL 4310	Energy System Modeling for Buildings and Cities	3
CIVL 4320	Structural Steel Design	3
CIVL 4330	Introduction to Structural Dynamics	3
CIVL 4340	Prestressed Concrete Design	3
CIVL 4360	Implementing Artificial Intelligence in Smart Buildings	3
CIVL 4370	Computer Methods of Structural Analysis	3
CIVL 4380	Introduction to Wind Effects on Buildings and Structures	3
CIVL 4430	Environmental Impact Assessment	3
CIVL 4450	Carbon Footprint Analysis and Reduction	3
CIVL 4460	Process Design of Environmental Engineering Facilities	3
CIVL 4470	Air Quality Control and Management	3
CIVL 4480	Climate Modeling and Risk Assessment	3
CIVL 4520	Municipal Hydrosystems Engineering and Management	3
CIVL 4560	Urban Hydroclimate and the Built Environment	3
CIVL 4610	Introduction to Data Analytics for Smart Transportation Systems	3
CIVL 4620	Transportation System Operations	3
CIVL 4630	Public Transport Planning and Operation	3
CIVL 4640	Introduction to Smart City Economics	3
CIVL 4650	Multi-agent Decision Making in Smart Cities	3
CIVL 4700	Engineering Geology	3
CIVL 4710	Soil Slope Engineering	3
CIVL 4750	Numerical Solutions to Geotechnical Problems	3
CIVL 4760	Introduction to Rock Mechanics	3
CIVL 4810	Construction Materials Technology	3
CIVL 4900	Directed Studies	1-4
CIVL 4910	Civil and Environmental Engineering Final Year Project	6
CIVL 4920	Civil and Environmental Engineering Final Year Thesis	6
CIVL 4950	Civil Engineering Capstone Design Project	3
COMP 1001	Exploring Multimedia and Internet Computing	3
COMP 1021	Introduction to Computer Science	3
COMP 1022P	Introduction to Computing with Java	3
COMP 1029C	C Programming Bridging Course	1
COMP 1029J	Java Programming Bridging Course	1
COMP 1029P	Python Programming Bridging Course	1
COMP 1029V	Excel VBA Programming Bridging Course	1
COMP 1942	Exploring and Visualizing Data	3
COMP 1943	Creative Sound and Video Design	3
COMP 1944	Artificial Intelligence Ethics	3
COMP 1991	Industrial Experience	0
COMP 2011	Programming with C++	4
COMP 2012	Object-Oriented Programming and Data Structures	4
COMP 2012H	Honors Object-Oriented Programming and Data Structures	5
COMP 2211	Exploring Artificial Intelligence	3
COMP 2611	Computer Organization	4
COMP 2633	Competitive Programming in Cybersecurity I	0
COMP 2711	Discrete Mathematical Tools for Computer Science	4
COMP 2711H	Honors Discrete Mathematical Tools for Computer Science	4
COMP 3021	Java Programming	3
COMP 3031	Principles of Programming Languages	3
COMP 3071	Honors Competitive Programming	2
COMP 3111	Software Engineering	4
COMP 3111H	Honors Software Engineering	4
COMP 3211	Fundamentals of Artificial Intelligence	3
COMP 3311	Database Management Systems	3
COMP 3511	Operating Systems	3
COMP 3631	Cryptography	3
COMP 3633	Competitive Programming in Cybersecurity II	2
COMP 3711	Design and Analysis of Algorithms	3
COMP 3711H	Honors Design and Analysis of Algorithms	4
COMP 3721	Theory of Computation	3
COMP 4021	Internet Computing	3
COMP 4121	Modern Compiler Construction	3
COMP 4211	Machine Learning	3
COMP 4221	Introduction to Natural Language Processing	3
COMP 4222	Machine Learning with Structured Data	3
COMP 4321	Search Engines for Web and Enterprise Data	3
COMP 4331	Data Mining	3
COMP 4332	Big Data Mining and Management	3
COMP 4411	Computer Graphics	3
COMP 4421	Image Processing	3
COMP 4431	Multimedia Computing	3
COMP 4441	Music Video Creation	3
COMP 4451	Game Programming	3
COMP 4461	Human-Computer Interaction	3
COMP 4462	Data Visualization	3
COMP 4471	Deep Learning in Computer Vision	3
COMP 4511	System and Kernel Programming in Linux	3
COMP 4521	Mobile Application Development	3
COMP 4531	IoT and Smart Sensing	3
COMP 4541	Blockchain, Cryptocurrencies and Smart Contracts	3
COMP 4611	Design and Analysis of Computer Architectures	3
COMP 4621	Computer and Communication Networks	3
COMP 4632	Practicing Cybersecurity: Attacks and Counter-measures	3
COMP 4633	Competitive Programming in Cybersecurity III	2
COMP 4634	Cybersecurity	3
COMP 4641	Social Information Network Analysis and Engineering	3
COMP 4651	Cloud Computing and Big Data Systems	3
COMP 4900	Academic and Professional Development	0
COMP 4901	Special Topics in Computer Science	0-4
COMP 4910	Co-op Program	6
COMP 4911	IT Entrepreneurship	3
COMP 4971	Independent Work	1-4
COMP 4981	Final Year Project	6
COMP 4981H	Final Year Thesis	6
CPEG 1971	Industrial Experience	0
CPEG 2930	Academic and Professional Development I	0
CPEG 3930	Academic and Professional Development II	0
CPEG 4901	Computer Engineering Final Year Project in COMP	6
CPEG 4902	Computer Engineering Final Year Thesis in COMP	6
CPEG 4910	Co-op Program	6
CPEG 4911	Computer Engineering Final Year Project in ELEC	6
CPEG 4912	Computer Engineering Final Year Thesis in ELEC	6
CTDL 1901	Cognitive Foundations of University Education: Critical Thinking and Data Literacy	3
CTDL 1902	AI and Society: Ethics, Cognition, and Critical Analysis	3
DASC 2010	Calculus for Data Analytics in Science	3
DASC 2020	Applied Linear Algebra for Least Squares Optimization and Machine Learning	3
DASC 2110	Object-oriented Programming for Data Analytics in Science	3
DASC 2210	A Survey on Big Data in Science and Society	1
DASC 2220	Statistics and Probability for Data Analytics in Science	3
DASC 3120	Data Structures for Data Analytics in Science	3
DASC 3230	Statistical Modeling and Machine Learning	3
DASC 3240	Data Visualization in Science	3
DASC 3250	Numerical Methods for Data Analytics in Science	3
DASC 4010	Practical Artificial Intelligence in Science	3
DASC 4020	Structured Query Language for Data Analytics	3
DASC 4300	Capstone Project for Data Analytics in Science	3
DASC 4400	Data Analytics in Information Science	3
DSCT 4900	Academic and Professional Development	0
ECON 1220	Thinking like an Economist I: Microeconomics	3
ECON 1221	Thinking like an Economist II: Macroeconomics	3
ECON 1222	What Economics Tells Us About Our Life and Social Policy	3
ECON 1234	China's Economic Challenges	3
ECON 2103	Principles of Microeconomics	3
ECON 2113	Microeconomics	3
ECON 2123	Macroeconomics	3
ECON 2174	Mathematics for Economists	4
ECON 3014	Managerial Microeconomics	4
ECON 3024	Managerial Macroeconomics	4
ECON 3113	Microeconomic Theory I	4
ECON 3123	Macroeconomic Theory I	3
ECON 3133	Microeconomic Theory II	4
ECON 3143	Macroeconomic Theory II	4
ECON 3334	Introduction to Econometrics	4
ECON 3700	Writing as an Economist	3
ECON 3800	ECON UG Honors Thesis I	2
ECON 4114	Industrial Organization and Competitive Strategy	4
ECON 4124	Applied Game Theory	4
ECON 4134	Economics of Uncertainty and Information	4
ECON 4144	Health and Education Economics	4
ECON 4234	Labor Economics and Human Resources	4
ECON 4244	Economics of Human Behavior	4
ECON 4264	Economics of Innovation and Entrepreneurship	4
ECON 4274	Programming Econometrics with R	4
ECON 4284	Econometrics for Cross-Section and Panel Data	4
ECON 4304	Time Series Econometrics and Business Forecasting	4
ECON 4305	Applied Machine Learning for Economic and Financial Analysis	4
ECON 4334	Money and Banking	4
ECON 4364	International Trade and Investment	4
ECON 4374	International Macroeconomics and Finance	4
ECON 4434	Economic Development and Growth	4
ECON 4454	Green Economy and Sustainability	4
ECON 4464	Urban and Environment Economics	4
ECON 4474	Hong Kong's Economy	4
ECON 4670	Economics Research and Communication	0
ECON 4800	ECON UG Honors Thesis II	3
ECON 4959	Independent Study	1-4
ECON 4999	Special Topics in Economics	1-4
ELEC 1010	Electronic and Information Technology	3
ELEC 1030	The Rise of Autonomous Robots	3
ELEC 1095	Special Topics	1-4
ELEC 1100	Introduction to Electro-Robot Design	4
ELEC 1200	A System View of Communications: from Signals to Packets	4
ELEC 2100	Signals and Systems	4
ELEC 2350	Introduction to Computer Organization and Design	4
ELEC 2400	Electronic Circuits	4
ELEC 2420	Basic Electronics	3
ELEC 2600	Probability and Random Processes in Engineering	4
ELEC 2910	Academic and Professional Development I	0
ELEC 2991	Industrial Experience (Electronic Engineering)	0
ELEC 3100	Signal Processing and Communications	4
ELEC 3120	Computer Communication Networks	3
ELEC 3130	Digital Image Processing	3
ELEC 3180	Data-Driven Portfolio Optimization	3
ELEC 3200	System Modeling, Analysis and Control	4
ELEC 3210	Introduction to Mobile Robotics	3
ELEC 3300	Introduction to Embedded Systems	4
ELEC 3310	Digital Fundamentals and System Design	4
ELEC 3350	Principles of Machine Learning	3
ELEC 3400	Introduction to Integrated Circuits and Systems	4
ELEC 3410	CMOS VLSI Design	3
ELEC 3500	Integrated Circuit Devices	4
ELEC 3600	Electromagnetics: From Wireless to Photonic Applications	4
ELEC 3810	Data Science for Neural Engineering	3
ELEC 3910	Academic and Professional Development II	0
ELEC 4010	Special Topics	1-4
ELEC 4110	Digital Communications and Wireless Systems	3
ELEC 4210	Control System Design	3
ELEC 4220	Robotics: Modeling, Control and Planning	3
ELEC 4240	Deep Learning in Computer Vision	3
ELEC 4260	Intelligent Robots and Embodied AI	3
ELEC 4310	Embedded System Design	4
ELEC 4320	FPGA-based Design: From Theory to Practice	3
ELEC 4350	AI Processor Architecture	3
ELEC 4420	Analogue Integrated Circuits Design and Analysis	4
ELEC 4430	Integrated Power Electronics	3
ELEC 4510	Semiconductor Materials and Devices	3
ELEC 4520	Integrated Circuit Fabrication Technology	3
ELEC 4530	Fundamentals of Photovoltaic and Renewable Energy	3
ELEC 4610	Engineering Optics	4
ELEC 4620	Photonics and Optical Communications	4
ELEC 4810	Introduction to Biosensors and Bioinstrumentation	4
ELEC 4820	Medical Imaging	3
ELEC 4830	Statistical Signal Analysis and Applications in Neural Engineering	3
ELEC 4840	Artificial Intelligence for Medical Image Analysis	3
ELEC 4900	Final Year Design Project	6
ELEC 4901	Final Year Thesis	6
ELEC 4910	Co-op Program	6
ELEC 4940	Independent Study	1-3
EMIA 2010	Cross-disciplinary Seminar	0
EMIA 2020	Cross-disciplinary Design Thinking	3
EMIA 2200	Introduction to Digital Media	3
EMIA 2210	Sci-Fi Storytelling	3
EMIA 2220	Technical Theater Arts	3
EMIA 2500	Special Topics (I)	1-4
EMIA 3500	Special Topics (II)	1-4
EMIA 4110	Practical Machine Learning	3
EMIA 4500	Special Topics (III)	1-4
EMIA 4900	Independent Study	1-4
EMIA 4990	Interdisciplinary Capstone Design	0
EMIA 4991	Interdisciplinary Capstone Project	3
ENEG 2910	Industrial Training	0
ENEG 2990	Academic and Professional Development I	0
ENEG 3110	Materials for Energy Technologies	3
ENEG 3910	Sustainable Energy Laboratory	3
ENEG 4130	Photovoltaic Materials and Devices	3
ENEG 4210	Optimization of Energy Systems	3
ENEG 4320	Energy Storage Technology	3
ENEG 4920	Final Year Design Project	6
ENEG 4980	Investigation Project	3
ENEG 4990	Academic and Professional Development II	0
ENGG 1010	Academic Orientation	0
ENGG 1100	First Year Cornerstone Engineering Design Project Course	3
ENGG 1110	Engineering Solutions to Grand Challenges of the 21st Century	3
ENGG 1130	The Impact and Value of Technology Innovation	3
ENGG 1150	Information Technology Revolution: Past, Present and Future	3
ENGG 1200	Engineering Team Design Experience	3
ENGG 1300	Design Thinking for Health Innovation	3
ENGG 1400	Designing Your Life for Engineering Students	1
ENGG 1502	Applied Algorithmic Thinking with Final Project	4
ENGG 1900	Service Learning Program	1
ENGG 2010	Engineering Seminar Series	0
ENGG 2201	The Law of Contract	6
ENGG 2900	Community Services Project	1-4
ENGG 2990	Special Topics	1-3
ENGG 2991-2993	Undergraduate Student-initiated Experiential Learning	1-3
ENGG 3960-3962	Robotics Special Project	1-4
ENGG 4901	Integrated Final Year Project - First Major	3
ENGG 4902	Integrated Final Year Project - Second Major	3
ENGG 4903	Integrated Final Year Thesis - First Major	3
ENGG 4904	Integrated Final Year Thesis - Second Major	3
ENGG 4950	Engineering Special Project	1-4
ENTR 1001	Entrepreneurship 1001: Designing Your Future	3
ENTR 2010	Entrepreneurship Mentorship and Readings	1
ENTR 3013	Prototyping Skills for Entrepreneurs	3
ENTR 3030	Social Innovations and Entrepreneurship	3
ENTR 3100	Industrial Landscape: Understanding the Elements to Start a Business	3
ENTR 3350	Global Product Development	3
ENTR 3360	From Product Innovations to Successful Technology Startups	3
ENTR 4000	Special Topics in Entrepreneurship	1-4
ENTR 4901-4904	Student-led Entrepreneurship Acceleration Project	1-4
ENTR 4911	IT Entrepreneurship	3
ENVR 1001	EVMT Orientation	0
ENVR 1030	Environment and Health	3
ENVR 1040	The Environment and Society - A Comprehensive Perspective	3
ENVR 1070	Thinking Big: Systems Thinking for Environmental Problems	3
ENVR 1080	The Smart Consumer - Uncovering the Hidden Story behind the Product Label	3
ENVR 1150	Climate Change Impacts and Extreme Weather Events	3
ENVR 1170	Science, Environment and Society - From Big Bang to Big Data	3
ENVR 1811	Environmental Management and Technology Study Trip I	1
ENVR 2001	Academic and Professional Development I	1
ENVR 2002	Special Topics in Environmental Studies	1-4
ENVR 2010	Environmental Science Fundamentals	3
ENVR 2020	Urban Air Pollution	3
ENVR 2030	Material and Energy Balance for Environmental Management	3
ENVR 2050	Sustainability Thinking	3
ENVR 2060	From Trash to Treasure: Managing Waste to Resources	3
ENVR 2070	Smart Buildings for a Warming Planet	3
ENVR 2080	Circular Economy and Life Cycle Assessment	3
ENVR 2090	Environmental Laboratory	3
ENVR 2811	Environmental Management and Technology Study Trip II	1
ENVR 2900	Internship/Service Learning	1
ENVR 3001	Academic and Professional Development II	1
ENVR 3004	Life Cycle Assessment	3
ENVR 3005	Environmental Sustainability: Risks and Challenges	3
ENVR 3010	Special Topics in Environmental Studies	1-4
ENVR 3110	Life Cycle Assessment for Sustainable Development	3
ENVR 3210	Environmental Technology for Impact Assessment	3
ENVR 3220	Energy Sources and Usage	3
ENVR 3310	Green Business Strategy	3
ENVR 3410	Economics for Environmental Policy and Management	3
ENVR 3420	Environmental Law and Regulations	3
ENVR 4000	Special Topics in Environmental Studies	1-4
ENVR 4001	Academic and Professional Development III	1
ENVR 4010	Independent Study in Environment Issues	1-4
ENVR 4320	ESG Management and Reporting	3
ENVR 4330	Environmental Geographical Information System	3
ENVR 4340	Social Sustainability: Risks and Challenges	3
ENVR 4350	Governing Green Finance: National and International Perspectives and Approaches	3
ENVR 4470	Air Quality Control and Management	3
ENVR 4480	Climate Modeling and Risk Assessment	3
ENVR 4800	Environmental Management and Technology Seminar	1
ENVR 4980	Environmental Management and Technology Capstone Project I	3
ENVR 4990	Environmental Management and Technology Capstone Project II	3
ENVS 4012	Special Topics in Environmental Science	1-3
ENVS 4910	Independent Study	1-3
ENVS 4964	Environmental Science Capstone Project Research	3
ENVS 4974	Environmental Science Project Research I	3
ENVS 4984	Environmental Science Project Research II	4
FINA 1303	Introduction to Financial Markets and Institutions	3
FINA 2101	Introduction to Finance	1
FINA 2203	Fundamentals of Business Finance	3
FINA 2303	Financial Management	3
FINA 3001	Key Skills for Finance Professionals (A)	1
FINA 3103	Intermediate Investments	3
FINA 3111	Finance Professional Development	1
FINA 3203	Derivative Securities	3
FINA 3303	Intermediate Corporate Finance	3
FINA 3810	Bloomberg Market Concepts Certification	0
FINA 3820	Refinitiv Certification Program	0
FINA 3830	Refinitiv Analytics	0
FINA 4003	Wealth Management	3
FINA 4013	Corporate Valuation	3
FINA 4103	Financial Markets Trading and Structure	3
FINA 4203	Mergers, Acquisitions, and Corporate Restructuring	3
FINA 4303	Fixed Income Securities	3
FINA 4403	International Finance	3
FINA 4413	Family Business	3
FINA 4423	Family Office	3
FINA 4503	Banking and Financial Intermediation	3
FINA 4513	Risk Management	3
FINA 4603	Venture Capital Financing	3
FINA 4703	ESG Investing	3
FINA 4713	Introduction to Artificial Intelligence and Big Data in Finance	3
FINA 4723	Responsible Finance	3
FINA 4803	Quantitative Trading	3
FINA 4919	Independent Study	1-4
FINA 4929	Special Topics in Finance	0-4
GBUS 1000	Global Leadership Development	0
GBUS 2010	Global Business Analysis	3
GBUS 2020	Public Service Project	1
GBUS 2030	From Zero to Exit – Journey of A Start-up	2
GBUS 2040	Environmental, Social, and Governance (ESG) Corporate Project	1
GBUS 2050	Blue Ocean Strategy Innovation and Execution	2
GBUS 3010	Global Perspectives on Contemporary Issues	3
GBUS 3030	Global Business Case Studies	4
GBUS 3040	Business and ESG Management for Asia and Emerging Markets	3
GBUS 3050	Deal Making in Asia and Emerging Markets	3
GBUS 3060	Value Investing in Global Markets	3
GBUS 4000	Special Topics in Global Business	0-4
GBUS 4010	Independent Study	1-4
GBUS 4910	Capstone Project	4
GNED 2000	Selected Topics in General Education	0-3
GNED 2510	Career Building	1
GNED 2710	Service Learning Project	1
HART 1001	Arts and Creativity	2
HART 1012	Introduction to Photography	1
HART 1013	Fundamental Technique of Chinese Painting	1
HART 1014	Introduction to Chinese Calligraphy	1
HART 1017	Introduction to Contemporary Dance	1
HART 1023	Introduction to Experimental Animation	1
HART 1025	Introduction to New Topographic Photography	1
HART 1026	Connecting Acting with Public Speaking	1
HART 1029	Multicultural Dramatic Works	1
HART 1030	Introduction to Chinese Painting in the Past Century	1
HART 1035	Public Art Interventions	1
HART 1036	Introduction to Graphic Design	1
HART 1047	Introduction to Chinese Landscape Painting	1
HART 1048	Fashion Art and Styling	1
HLTH 1010	Healthy Lifestyle	0
HMAW 1905	Behavioral Foundations of University Education: Habits, Mindsets, and Wellness	3
HUMA 1000	Cultures and Values	3
HUMA 1001	Foundational Texts in the Humanities	3
HUMA 1009	Special Topics	3
HUMA 1010	Introduction to Language	3
HUMA 1020	Chinese Writing and Culture	3
HUMA 1030	Structure of the Chinese Language	3
HUMA 1060	Introduction to Mandarin Chinese Grammar	3
HUMA 1100	Music of the World	3
HUMA 1102	Enjoyment of Classical Music	3
HUMA 1107	Music and Film	3
HUMA 1108	Expressive Sounds	3
HUMA 1150	Exploration of Drawing	3
HUMA 1154	Photography	3
HUMA 1155	Video Art	3
HUMA 1156	Exploration of Chinese Calligraphy	3
HUMA 1160	Weiqi and Chinese Culture	1
HUMA 1210	Chinese Women on Screen	3
HUMA 1231	Popular Culture of East Asia	3
HUMA 1301	World Literature and Film	3
HUMA 1420	Late Imperial China from Yuan to Qing	3
HUMA 1430	History of P. R. China's Diplomacy, 1949-1989	3
HUMA 1440	Modern China	3
HUMA 1520	Modern East Asia	3
HUMA 1622	Science, Technology and Society: Historical and Cultural Approaches	3
HUMA 1630	Popular Religion in South China	3
HUMA 1639	Marriage, Family and Kinship in Cross-cultural Perspectives	3
HUMA 1650	Appreciation of Western Art	3
HUMA 1660	Introduction to Chinese Art	3
HUMA 1671	Cantonese Opera in Hong Kong Culture	3
HUMA 1672	Studio Arts Workshops: Cantonese Opera	1
HUMA 1673	Art and Digital Culture	3
HUMA 1674	China in Historical Maps	3
HUMA 1675	Global History of Explorations	3
HUMA 1710	The Art of Thinking in the Hong Kong Context	3
HUMA 1720	Logic	3
HUMA 1810	Introduction to Chinese Philosophy	3
HUMA 1811	History of Chinese Philosophy	3
HUMA 1920	Introduction to Moral Philosophy	3
HUMA 1921	Philosophy of Science	3
HUMA 1922	Introduction to Analytic Philosophy	3
HUMA 1930	Introduction to the Ethics of Artificial Intelligence and Data Science	3
HUMA 2000-2001	Special Topics in Humanities	3
HUMA 2010	Metaphors in English and Chinese	3
HUMA 2031	The Cantonese Language	3
HUMA 2032	Language, Power and Identity	3
HUMA 2050	Classical Chinese	3
HUMA 2101	Enjoyment of Western Opera	3
HUMA 2103	Introduction to Music Composition	3
HUMA 2104	Music Theory I: Introduction to Tonal Music	3
HUMA 2105	Music, Drama, and Theatre	3
HUMA 2107	Introduction to Electronic Music Composition	3
HUMA 2108	Music of China	3
HUMA 2109	East Asian Popular Music	3
HUMA 2202	The Japanese Novel	3
HUMA 2203	Japanese Cinema	3
